VAR,EST
advection-0-1-1-2-3-3-4-4-my,1.4607380159999988
advection-0-0-0-1-1-1-2-2-py,1.4613978239999994
advection-0-0-0-0-1-2-3-3-py,1.4612433119999981
advection-0-0-0-0-1-1-1-2-pz,1.4620743359999981
advection-0-1-1-2-3-3-4-4-py,1.4611138559999985
advection-0-0-1-2-2-3-4-4-px,1.6669234079999982
advection-0-1-1-2-3-3-4-4-mx,1.4607129519999993
advection-0-1-2-2-3-4-4-4-py,1.4607254799999998
advection-0-0-0-0-0-1-2-2-mx,1.4613435359999998
advection-0-0-0-0-0-1-2-2-mz,1.4615815679999997
advection-0-0-0-1-1-2-2-3-mz,1.4609969279999981
advection-0-0-1-2-3-3-3-3-pz,1.4617903679999986
advection-0-0-0-1-1-2-3-4-my,1.5831288959999956
advection-0-0-0-1-1-2-3-4,1.4608194399999999
advection-0-0-1-1-1-1-2-3-mx,1.4610804479999993
advection-0-1-1-2-3-3-4-4-pz,1.4607129599999991
advection-0-1-2-2-3-4-4-4-my,1.6021493759999972
advection-0-0-1-2-3-3-3-3-py,1.4611055040000001
advection-0-0-0-0-0-0-0-0-mz,1.463118336
advection-0-0-0-1-1-2-2-2-py,1.4611138559999997
advection-0-0-0-0-1-2-2-2-py,1.4612975999999982
advection-0-0-0-1-1-2-2-3-px,1.6672867199999981
advection-0-0-0-0-0-0-0-1-my,1.462867776
advection-0-1-2-3-4-5-6-7-pz,1.4602849199999997
advection-0-0-1-2-2-2-2-2-px,1.6683641279999997
advection-0-0-0-0-1-1-1-2-px,1.6676375039999987
advection-0-1-1-2-2-2-2-2-pz,1.4622204959999998
advection-0-1-2-2-3-4-4-4-mx,1.4607192159999993
advection-0-0-1-2-3-3-4-4,1.4605375679999986
advection-0-1-2-3-4-5-6-7-mz,1.4605083339999987
advection-0-0-0-0-1-2-2-2-mz,1.4612975979999994
advection-0-0-1-2-2-3-4-4-pz,1.4606544959999992
advection-0-0-0-0-0-0-0-0-pz,1.463118336
advection-0-0-0-0-0-0-0-1-mz,1.4628176639999999
advection-0-0-0-0-1-2-2-2-my,1.5460901759999974
MIN,1.4602306259999993
advection-0-1-1-1-1-2-2-2-py,1.461598272
advection-0-0-1-2-2-3-4-4-my,1.4607025200000001
advection-0-1-1-2-2-2-2-2-my,1.4622163200000002
advection-0-0-0-0-1-2-3-3-mz,1.4612391359999983
advection-0-0-0-1-1-2-2-2-my,1.6674370559999971
advection-0-1-1-2-2-2-2-2-py,1.4624501719999996
advection-0-0-0-0-1-1-1-2-py,1.4614312319999998
advection-0-0-0-1-1-1-2-2-my,1.5262177919999977
advection-0-0-0-1-2-2-2-2-py,1.4613644159999999
advection-0-1-1-1-1-2-2-2-my,1.5453551999999999
advection-0-0-0-0-1-2-2-2-mx,1.4612140799999995
advection-0-0-1-1-1-1-2-3-pz,1.461915648
advection-0-0-1-2-2-2-2-2-py,1.4620743360000001
advection-0-0-1-1-1-1-2-3-my,1.4619156479999991
advection-0-0-0-1-1-2-3-4-mz,1.460900879999999
advection-0-0-0-0-0-1-2-2-my,1.4613477119999985
advection-0-1-2-3-4-5-6-7-px,1.6665684419999984
advection-0-0-1-2-2-2-2-3-mz,1.4614395839999998
advection-0-0-0-0-1-1-1-2-my,1.5270195839999978
advection-0-0-0-1-2-2-2-2-pz,1.4620743359999986
advection-0-0-0-0-0-0-0-1,1.4628176580000001
