VAR,X,Y,Z,TOTAL,HALO
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.02957,0.354612
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.05275,0.355683
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.08303,0.373427
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.05939,0.370283
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.04778,0.377972
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.04792,0.360122
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.04397,0.356189
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.10379,0.365457
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.03102,0.352826
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.04006,0.35731
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.57735,0.471397
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.11699,0.388471
advection-0-1-1-2-3-3-4-4-my,64,64,60,2.78049,0.323345
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.02381,0.369769
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.02187,0.356013
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.11021,0.361372
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.03139,0.353464
advection-0-1-1-2-3-3-4-4-my,64,64,60,2.98099,0.337312
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.00991,0.34558
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.04467,0.347177
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.10257,0.378325
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.02675,0.372912
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.23371,0.579653
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.01841,0.350922
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.0254,0.35558
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.38011,0.377452
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.02171,0.353655
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.05011,0.345146
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.09375,0.36318
advection-0-1-1-2-3-3-4-4-my,64,64,60,3.00626,0.350774
