VAR,X,Y,Z,TOTAL,HALO
PT12,100,10,60,0.03851,0.0
PT12,100,10,60,0.037885,0.0
PT12,100,10,60,0.037933,0.0
PT12,100,10,60,0.038226,0.0
PT12,100,10,60,0.037909,0.0
PT12,100,10,60,0.038109,0.0
PT12,100,10,60,0.038053,0.0
PT12,100,10,60,0.038035,0.0
PT12,100,10,60,0.038055,0.0
PT12,100,10,60,0.038205,0.0
PT12,100,10,60,0.037658,0.0
PT12,100,10,60,0.037856,0.0
PT12,100,10,60,0.03582,0.0
PT12,100,10,60,0.038132,0.0
PT12,100,10,60,0.037638,0.0
PT12,100,10,60,0.039667,0.0
PT12,100,10,60,0.038426,0.0
PT12,100,10,60,0.035688,0.0
PT12,100,10,60,0.037809,0.0
PT12,100,10,60,0.037862,0.0
PT12,100,10,60,0.038069,0.0
PT12,100,10,60,0.038359,0.0
PT12,100,10,60,0.038089,0.0
PT12,100,10,60,0.038707,0.0
PT12,100,10,60,0.038172,0.0
PT12,100,10,60,0.0381,0.0
PT12,100,10,60,0.036232,0.0
PT12,100,10,60,0.035297,0.0
PT12,100,10,60,0.035477,0.0
PT12,100,10,60,0.058407,0.0
PT12,100,10,60,0.038409,0.0
PT12,100,10,60,0.037612,0.0
PT12,100,10,60,0.05842,0.0
PT12,100,10,60,0.038206,0.0
PT12,100,10,60,0.035602,0.0
PT12,100,10,60,0.037702,0.0
PT12,100,10,60,0.037778,0.0
PT12,100,10,60,0.038126,0.0
PT12,100,10,60,0.038035,0.0
PT12,100,10,60,0.038031,0.0
PT12,100,10,60,0.038005,0.0
PT12,100,10,60,0.035957,0.0
PT12,100,10,60,0.036564,0.0
PT12,100,10,60,0.038946,0.0
PT12,100,10,60,0.038113,0.0
PT12,100,10,60,0.038129,0.0
PT12,100,10,60,0.038249,0.0
PT12,100,10,60,0.038009,0.0
PT8,40,26,100,0.091136,0.0
PT8,40,26,100,0.065667,0.0
PT8,40,26,100,0.066434,0.0
PT8,40,26,100,0.073841,0.0
PT8,40,26,100,0.065836,0.0
PT8,40,26,100,0.069106,0.0
PT8,40,26,100,0.067861,0.0
PT8,40,26,100,0.068111,0.0
PT8,40,26,100,0.065478,0.0
PT8,40,26,100,0.068061,0.0
PT8,40,26,100,0.065083,0.0
PT8,40,26,100,0.065539,0.0
PT8,40,26,100,0.088196,0.0
PT8,40,26,100,0.068632,0.0
PT8,40,26,100,0.077792,0.0
PT8,40,26,100,0.068011,0.0
PT8,40,26,100,0.068208,0.0
PT8,40,26,100,0.065967,0.0
PT8,40,26,100,0.06551,0.0
PT8,40,26,100,0.065795,0.0
PT8,40,26,100,0.068532,0.0
PT8,40,26,100,0.068088,0.0
PT8,40,26,100,0.075342,0.0
PT8,40,26,100,0.07015,0.0
PT8,40,26,100,0.106018,0.0
PT8,40,26,100,0.068322,0.0
PT8,40,26,100,0.065516,0.0
PT8,40,26,100,0.065841,0.0
PT8,40,26,100,0.067744,0.0
PT8,40,26,100,0.066215,0.0
PT8,40,26,100,0.068302,0.0
PT8,40,26,100,0.068936,0.0
PT8,40,26,100,0.068145,0.0
PT8,40,26,100,0.066156,0.0
PT8,40,26,100,0.068378,0.0
PT8,40,26,100,0.066025,0.0
PT8,40,26,100,0.087344,0.0
PT8,40,26,100,0.065985,0.0
PT8,40,26,100,0.067978,0.0
PT8,40,26,100,0.065684,0.0
PT8,40,26,100,0.06555,0.0
PT8,40,26,100,0.068511,0.0
PT8,40,26,100,0.065438,0.0
PT8,40,26,100,0.066045,0.0
PT8,40,26,100,0.080093,0.0
PT8,40,26,100,0.067874,0.0
PT8,40,26,100,0.066202,0.0
PT8,40,26,100,0.067981,0.0
PT16,40,4,260,0.047093,0.0
PT16,40,4,260,0.04767,0.0
PT16,40,4,260,0.05092,0.0
PT16,40,4,260,0.046886,0.0
PT16,40,4,260,0.047533,0.0
PT16,40,4,260,0.046893,0.0
PT16,40,4,260,0.047093,0.0
PT16,40,4,260,0.046936,0.0
PT16,40,4,260,0.04724,0.0
PT16,40,4,260,0.048478,0.0
PT16,40,4,260,0.047323,0.0
PT16,40,4,260,0.047187,0.0
PT16,40,4,260,0.04736,0.0
PT16,40,4,260,0.046969,0.0
PT16,40,4,260,0.04713,0.0
PT16,40,4,260,0.047474,0.0
PT16,40,4,260,0.046606,0.0
PT16,40,4,260,0.046919,0.0
PT16,40,4,260,0.047006,0.0
PT16,40,4,260,0.047574,0.0
PT16,40,4,260,0.047357,0.0
PT16,40,4,260,0.048111,0.0
PT16,40,4,260,0.048155,0.0
PT16,40,4,260,0.066044,0.0
PT16,40,4,260,0.04827,0.0
PT16,40,4,260,0.046986,0.0
PT16,40,4,260,0.04808,0.0
PT16,40,4,260,0.047072,0.0
PT16,40,4,260,0.047547,0.0
PT16,40,4,260,0.046983,0.0
PT16,40,4,260,0.047096,0.0
PT16,40,4,260,0.047056,0.0
PT16,40,4,260,0.048337,0.0
PT16,40,4,260,0.047394,0.0
PT16,40,4,260,0.046546,0.0
PT16,40,4,260,0.047419,0.0
PT16,40,4,260,0.047216,0.0
PT16,40,4,260,0.047036,0.0
PT16,40,4,260,0.047016,0.0
PT16,40,4,260,0.046833,0.0
PT16,40,4,260,0.047136,0.0
PT16,40,4,260,0.072429,0.0
PT16,40,4,260,0.04706,0.0
PT16,40,4,260,0.046279,0.0
PT16,40,4,260,0.047016,0.0
PT16,40,4,260,0.047183,0.0
PT16,40,4,260,0.047807,0.0
PT16,40,4,260,0.046943,0.0
PT16,160,16,60,0.106371,0.0
PT16,160,16,60,0.107001,0.0
PT16,160,16,60,0.110852,0.0
PT16,160,16,60,0.107098,0.0
PT16,160,16,60,0.106411,0.0
PT16,160,16,60,0.107422,0.0
PT16,160,16,60,0.111878,0.0
PT16,160,16,60,0.111173,0.0
PT16,160,16,60,0.104375,0.0
PT16,160,16,60,0.107328,0.0
PT16,160,16,60,0.107632,0.0
PT16,160,16,60,0.105736,0.0
PT16,160,16,60,0.126991,0.0
PT16,160,16,60,0.106037,0.0
PT16,160,16,60,0.128343,0.0
PT16,160,16,60,0.112611,0.0
PT16,160,16,60,0.126865,0.0
PT16,160,16,60,0.105916,0.0
PT16,160,16,60,0.105779,0.0
PT16,160,16,60,0.10548,0.0
PT16,160,16,60,0.106677,0.0
PT16,160,16,60,0.106827,0.0
PT16,160,16,60,0.107472,0.0
PT16,160,16,60,0.107431,0.0
PT16,160,16,60,0.106497,0.0
PT16,160,16,60,0.110469,0.0
PT16,160,16,60,0.110589,0.0
PT16,160,16,60,0.106556,0.0
PT16,160,16,60,0.10605,0.0
PT16,160,16,60,0.10653,0.0
PT16,160,16,60,0.10628,0.0
PT16,160,16,60,0.106007,0.0
PT16,160,16,60,0.108423,0.0
PT16,160,16,60,0.128159,0.0
PT16,160,16,60,0.11469,0.0
PT16,160,16,60,0.132198,0.0
PT16,160,16,60,0.107351,0.0
PT16,160,16,60,0.133599,0.0
PT16,160,16,60,0.11681,0.0
PT16,160,16,60,0.129505,0.0
PT16,160,16,60,0.107735,0.0
PT16,160,16,60,0.143177,0.0
PT16,160,16,60,0.107345,0.0
PT16,160,16,60,0.126158,0.0
PT16,160,16,60,0.107302,0.0
PT16,160,16,60,0.126785,0.0
PT16,160,16,60,0.106424,0.0
PT16,160,16,60,0.106274,0.0
PT20,160,6,60,0.05916,0.0
PT20,160,6,60,0.059347,0.0
PT20,160,6,60,0.059087,0.0
PT20,160,6,60,0.059324,0.0
PT20,160,6,60,0.059191,0.0
PT20,160,6,60,0.059668,0.0
PT20,160,6,60,0.080963,0.0
PT20,160,6,60,0.059294,0.0
PT20,160,6,60,0.059892,0.0
PT20,160,6,60,0.059485,0.0
PT20,160,6,60,0.070039,0.0
PT20,160,6,60,0.067981,0.0
PT20,160,6,60,0.055506,0.0
PT20,160,6,60,0.059154,0.0
PT20,160,6,60,0.070384,0.0
PT20,160,6,60,0.059187,0.0
PT20,160,6,60,0.059154,0.0
PT20,160,6,60,0.062525,0.0
PT20,160,6,60,0.058867,0.0
PT20,160,6,60,0.05915,0.0
PT20,160,6,60,0.059525,0.0
PT20,160,6,60,0.059067,0.0
PT20,160,6,60,0.059762,0.0
PT20,160,6,60,0.059471,0.0
PT20,160,6,60,0.055812,0.0
PT20,160,6,60,0.059301,0.0
PT20,160,6,60,0.055404,0.0
PT20,160,6,60,0.059103,0.0
PT20,160,6,60,0.059044,0.0
PT20,160,6,60,0.058907,0.0
PT20,160,6,60,0.083937,0.0
PT20,160,6,60,0.059501,0.0
PT20,160,6,60,0.059114,0.0
PT20,160,6,60,0.068761,0.0
PT20,160,6,60,0.059221,0.0
PT20,160,6,60,0.080376,0.0
PT20,160,6,60,0.055218,0.0
PT20,160,6,60,0.059188,0.0
PT20,160,6,60,0.056149,0.0
PT20,160,6,60,0.059448,0.0
PT20,160,6,60,0.055778,0.0
PT20,160,6,60,0.055363,0.0
PT20,160,6,60,0.058874,0.0
PT20,160,6,60,0.082762,0.0
PT20,160,6,60,0.055243,0.0
PT20,160,6,60,0.059534,0.0
PT20,160,6,60,0.058445,0.0
PT20,160,6,60,0.058946,0.0
PT16,40,6,260,0.072216,0.0
PT16,40,6,260,0.069063,0.0
PT16,40,6,260,0.069192,0.0
PT16,40,6,260,0.069506,0.0
PT16,40,6,260,0.069557,0.0
PT16,40,6,260,0.068989,0.0
PT16,40,6,260,0.068752,0.0
PT16,40,6,260,0.070495,0.0
PT16,40,6,260,0.06921,0.0
PT16,40,6,260,0.069255,0.0
PT16,40,6,260,0.087001,0.0
PT16,40,6,260,0.069045,0.0
PT16,40,6,260,0.06945,0.0
PT16,40,6,260,0.069106,0.0
PT16,40,6,260,0.069036,0.0
PT16,40,6,260,0.070354,0.0
PT16,40,6,260,0.068872,0.0
PT16,40,6,260,0.069019,0.0
PT16,40,6,260,0.069029,0.0
PT16,40,6,260,0.1088,0.0
PT16,40,6,260,0.071205,0.0
PT16,40,6,260,0.070261,0.0
PT16,40,6,260,0.090371,0.0
PT16,40,6,260,0.070568,0.0
PT16,40,6,260,0.068979,0.0
PT16,40,6,260,0.07027,0.0
PT16,40,6,260,0.069851,0.0
PT16,40,6,260,0.082953,0.0
PT16,40,6,260,0.066613,0.0
PT16,40,6,260,0.064062,0.0
PT16,40,6,260,0.069089,0.0
PT16,40,6,260,0.06918,0.0
PT16,40,6,260,0.086449,0.0
PT16,40,6,260,0.073838,0.0
PT16,40,6,260,0.06908,0.0
PT16,40,6,260,0.069593,0.0
PT16,40,6,260,0.069453,0.0
PT16,40,6,260,0.070057,0.0
PT16,40,6,260,0.069687,0.0
PT16,40,6,260,0.069277,0.0
PT16,40,6,260,0.068899,0.0
PT16,40,6,260,0.069192,0.0
PT16,40,6,260,0.069743,0.0
PT16,40,6,260,0.069643,0.0
PT16,40,6,260,0.069102,0.0
PT16,40,6,260,0.069095,0.0
PT16,40,6,260,0.069089,0.0
PT16,40,6,260,0.069223,0.0
PT20,60,6,260,0.109871,0.0
PT20,60,6,260,0.109398,0.0
PT20,60,6,260,0.109591,0.0
PT20,60,6,260,0.109808,0.0
PT20,60,6,260,0.109747,0.0
PT20,60,6,260,0.109611,0.0
PT20,60,6,260,0.109371,0.0
PT20,60,6,260,0.109427,0.0
PT20,60,6,260,0.109547,0.0
PT20,60,6,260,0.1142,0.0
PT20,60,6,260,0.109244,0.0
PT20,60,6,260,0.107445,0.0
PT20,60,6,260,0.109711,0.0
PT20,60,6,260,0.109617,0.0
PT20,60,6,260,0.109461,0.0
PT20,60,6,260,0.123021,0.0
PT20,60,6,260,0.109611,0.0
PT20,60,6,260,0.109912,0.0
PT20,60,6,260,0.109166,0.0
PT20,60,6,260,0.110789,0.0
PT20,60,6,260,0.109411,0.0
PT20,60,6,260,0.115788,0.0
PT20,60,6,260,0.111614,0.0
PT20,60,6,260,0.109821,0.0
PT20,60,6,260,0.109384,0.0
PT20,60,6,260,0.109598,0.0
PT20,60,6,260,0.109388,0.0
PT20,60,6,260,0.109311,0.0
PT20,60,6,260,0.114313,0.0
PT20,60,6,260,0.126762,0.0
PT20,60,6,260,0.109301,0.0
PT20,60,6,260,0.130703,0.0
