VAR,X,Y,Z,TOTAL,HALO
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.00644,0.474078
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,2.76511,0.427512
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.08818,0.408245
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.11876,0.445537
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.36072,0.504312
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.37177,0.512387
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.38523,0.510861
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,2.66334,0.42536
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.34068,0.504126
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.39752,0.516466
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.34642,0.501442
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.33207,0.495611
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.17855,0.486207
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,2.8916,0.462848
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,2.90631,0.427693
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,2.86551,0.408954
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.2473,0.505847
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.33449,0.502814
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.33693,0.500179
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.36777,0.513376
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.37232,0.516812
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.38386,0.512543
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.41871,0.509314
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.38574,0.513329
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.37487,0.528397
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.33682,0.512166
diffusion-0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-3-mz,64,64,60,3.37689,0.502748
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.07826,0.495833
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.11715,0.523835
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.11902,0.536735
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.14454,0.519187
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.25283,0.518052
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.14411,0.533754
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.11371,0.517224
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.10033,0.512053
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.91482,0.491002
