VAR,X,Y,Z,TOTAL,HALO
AUTO,64,64,60,1.95545,0.140325
AUTO,64,64,60,2.34168,0.160488
AUTO,64,64,60,2.34126,0.162123
AUTO,64,64,60,2.21231,0.164377
AUTO,64,64,60,2.34741,0.172887
AUTO,64,64,60,2.33978,0.180634
AUTO,64,64,60,2.33959,0.177568
AUTO,64,64,60,2.00288,0.137386
AUTO,64,64,60,2.34336,0.163944
AUTO,64,64,60,2.22618,0.164892
AUTO,64,64,60,1.9021,0.141899
AUTO,64,64,60,2.33393,0.171016
AUTO,64,64,60,2.36248,0.188809
AUTO,64,64,60,2.36742,0.192519
AUTO,64,64,60,2.38541,0.19865
AUTO,64,64,60,2.38335,0.200302
AUTO,64,64,60,2.36947,0.201932
AUTO,64,64,60,2.25388,0.187668
AUTO,64,64,60,2.37706,0.201333
AUTO,64,64,60,2.37608,0.200712
AUTO,64,64,60,2.36757,0.197768
AUTO,64,64,60,2.06622,0.183311
AUTO,64,64,60,2.3635,0.192197
AUTO,64,64,60,2.38674,0.199264
AUTO,64,64,60,2.24872,0.178298
AUTO,64,64,60,2.38192,0.202764
AUTO,64,64,60,2.37569,0.198291
AUTO,64,64,60,2.37179,0.200507
AUTO,64,64,60,2.07172,0.162204
AUTO,64,64,60,2.37771,0.196985
AUTO,64,64,60,1.66899,0.142343
AUTO,64,64,60,2.14043,0.167321
AUTO,64,64,60,2.38422,0.200191
AUTO,64,64,60,2.37123,0.198918
AUTO,64,64,60,2.33984,0.186739
AUTO,64,64,60,2.35804,0.199278
AUTO,64,64,60,2.36953,0.198448
AUTO,64,64,60,2.36466,0.19811
AUTO,64,64,60,2.08971,0.16814
AUTO,64,64,60,2.37394,0.197934
AUTO,64,64,60,2.35905,0.199627
AUTO,64,64,60,2.36099,0.192962
AUTO,64,64,60,2.37571,0.202803
AUTO,64,64,60,2.35375,0.197762
AUTO,64,64,60,2.33808,0.17005
AUTO,64,64,60,2.11148,0.154198
AUTO,64,64,60,2.34284,0.188979
AUTO,64,64,60,2.32001,0.188047
