VAR,X,Y,Z,TOTAL,HALO
IN3BD2,160,26,20,0.38558,0.0
IN3BD2,160,26,20,0.371441,0.0
IN3BD2,160,26,20,0.384836,0.0
IN3BD2,160,26,20,0.38121,0.0
IN3BD2,160,26,20,0.367066,0.0
IN3BD2,160,26,20,0.377077,0.0
IN3BD2,160,26,20,0.364562,0.0
IN3BD2,160,26,20,0.369412,0.0
IN3BD2,160,26,20,0.375499,0.0
IN3BD2,160,26,20,0.379443,0.0
IN3BD2,160,26,20,0.366451,0.0
IN3BD2,160,26,20,0.379152,0.0
IN3BD2,160,26,20,0.369815,0.0
IN3BD2,160,26,20,0.381924,0.0
IN3BD2,160,26,20,0.366636,0.0
IN3BD2,160,26,20,0.383363,0.0
IN3BD2,160,26,20,0.388365,0.0
IN3BD2,160,26,20,0.365837,0.0
IN3BD2,160,26,20,0.360111,0.0
IN3BD2,160,26,20,0.378338,0.0
IN3BD2,160,26,20,0.398373,0.0
IN3BD2,160,26,20,0.365701,0.0
IN3BD2,160,26,20,0.39168,0.0
IN3BD2,160,26,20,0.386716,0.0
IN3BD2,160,26,20,0.372359,0.0
IN3BD2,160,26,20,0.384966,0.0
IN3BD2,160,26,20,0.389113,0.0
IN3BD2,160,26,20,0.40853,0.0
IN3BD2,160,26,20,0.36451,0.0
IN3BD2,160,26,20,0.372611,0.0
IN3BD2,160,26,20,0.373045,0.0
IN3BD2,160,26,20,0.619584,0.0
IN3BD2,160,26,20,0.380187,0.0
IN3BD2,160,26,20,0.369516,0.0
IN3BD2,160,26,20,0.380171,0.0
IN3BD2,160,26,20,0.394632,0.0
IN3BD2,160,26,20,0.382246,0.0
IN3BD2,160,26,20,0.367063,0.0
IN3BD2,160,26,20,0.372481,0.0
IN3BD2,160,26,20,0.389419,0.0
IN3BD2,160,26,20,0.374833,0.0
IN3BD2,160,26,20,0.381677,0.0
IN3BD2,160,26,20,0.362974,0.0
IN3BD2,160,26,20,0.386787,0.0
IN3BD2,160,26,20,0.600147,0.0
IN3BD2,160,26,20,0.364901,0.0
IN3BD2,160,26,20,0.380895,0.0
IN3BD2,160,26,20,0.37357,0.0
IN3BD2,60,16,160,0.546939,0.0
IN3BD2,60,16,160,0.407278,0.0
IN3BD2,60,16,160,0.389407,0.0
IN3BD2,60,16,160,0.483713,0.0
IN3BD2,60,16,160,0.401529,0.0
IN3BD2,60,16,160,0.425245,0.0
IN3BD2,60,16,160,0.427022,0.0
IN3BD2,60,16,160,0.425636,0.0
IN3BD2,60,16,160,0.422218,0.0
IN3BD2,60,16,160,0.636931,0.0
IN3BD2,60,16,160,0.44684,0.0
IN3BD2,60,16,160,0.402261,0.0
IN3BD2,60,16,160,0.420378,0.0
IN3BD2,60,16,160,0.483931,0.0
IN3BD2,60,16,160,0.439703,0.0
IN3BD2,60,16,160,0.406692,0.0
IN3BD2,60,16,160,0.405866,0.0
IN3BD2,60,16,160,0.771281,0.0
IN3BD2,60,16,160,0.398611,0.0
IN3BD2,60,16,160,0.405563,0.0
IN3BD2,60,16,160,0.418167,0.0
IN3BD2,60,16,160,0.40317,0.0
IN3BD2,60,16,160,0.393858,0.0
IN3BD2,60,16,160,0.393356,0.0
IN3BD2,60,16,160,0.3835,0.0
IN3BD2,60,16,160,0.394637,0.0
IN3BD2,60,16,160,0.47124,0.0
IN3BD2,60,16,160,0.470266,0.0
IN3BD2,60,16,160,0.403227,0.0
IN3BD2,60,16,160,0.454078,0.0
IN3BD2,60,16,160,0.408021,0.0
IN3BD2,60,16,160,0.454191,0.0
IN3BD2,60,16,160,0.433613,0.0
IN3BD2,60,16,160,0.401246,0.0
IN3BD2,60,16,160,0.423374,0.0
IN3BD2,60,16,160,0.42049,0.0
IN3BD2,60,16,160,0.485078,0.0
IN3BD2,60,16,160,0.474415,0.0
IN3BD2,60,16,160,0.389801,0.0
IN3BD2,60,16,160,0.398293,0.0
IN3BD2,60,16,160,0.396966,0.0
IN3BD2,60,16,160,0.403166,0.0
IN3BD2,60,16,160,0.41799,0.0
IN3BD2,60,16,160,0.408997,0.0
IN3BD2,60,16,160,0.416712,0.0
IN3BD2,60,16,160,0.398624,0.0
IN3BD2,60,16,160,0.465367,0.0
IN3BD2,60,16,160,0.447218,0.0
IN0BD0,60,6,160,0.021869,0.0
IN0BD0,60,6,160,0.01674,0.0
IN0BD0,60,6,160,0.018276,0.0
IN0BD0,60,6,160,0.018556,0.0
IN0BD0,60,6,160,0.020383,0.0
IN0BD0,60,6,160,0.017379,0.0
IN0BD0,60,6,160,0.013634,0.0
IN0BD0,60,6,160,0.016426,0.0
IN0BD0,60,6,160,0.013645,0.0
IN0BD0,60,6,160,0.024739,0.0
IN0BD0,60,6,160,0.018871,0.0
IN0BD0,60,6,160,0.017209,0.0
IN0BD0,60,6,160,0.017913,0.0
IN0BD0,60,6,160,0.021173,0.0
IN0BD0,60,6,160,0.013979,0.0
IN0BD0,60,6,160,0.013676,0.0
IN0BD0,60,6,160,0.022365,0.0
IN0BD0,60,6,160,0.013174,0.0
IN0BD0,60,6,160,0.018369,0.0
IN0BD0,60,6,160,0.01816,0.0
IN0BD0,60,6,160,0.017507,0.0
IN0BD0,60,6,160,0.013317,0.0
IN0BD0,60,6,160,0.01326,0.0
IN0BD0,60,6,160,0.013664,0.0
IN0BD0,60,6,160,0.01552,0.0
IN0BD0,60,6,160,0.012986,0.0
IN0BD0,60,6,160,0.018002,0.0
IN0BD0,60,6,160,0.018542,0.0
IN0BD0,60,6,160,0.017846,0.0
IN0BD0,60,6,160,0.016483,0.0
IN0BD0,60,6,160,0.023446,0.0
IN0BD0,60,6,160,0.016973,0.0
IN0BD0,60,6,160,0.0148,0.0
IN0BD0,60,6,160,0.013642,0.0
IN0BD0,60,6,160,0.016684,0.0
IN0BD0,60,6,160,0.012767,0.0
IN0BD0,60,6,160,0.013376,0.0
IN0BD0,60,6,160,0.01532,0.0
IN0BD0,60,6,160,0.013401,0.0
IN0BD0,60,6,160,0.022596,0.0
IN0BD0,60,6,160,0.019273,0.0
IN0BD0,60,6,160,0.019566,0.0
IN0BD0,60,6,160,0.013698,0.0
IN0BD0,60,6,160,0.013342,0.0
IN0BD0,60,6,160,0.017857,0.0
IN0BD0,60,6,160,0.01699,0.0
IN0BD0,60,6,160,0.016234,0.0
IN0BD0,60,6,160,0.015424,0.0
IN1BD1,60,10,100,0.042513,0.0
IN1BD1,60,10,100,0.04443,0.0
IN1BD1,60,10,100,0.059502,0.0
IN1BD1,60,10,100,0.042746,0.0
IN1BD1,60,10,100,0.049114,0.0
IN1BD1,60,10,100,0.041361,0.0
IN1BD1,60,10,100,0.060916,0.0
IN1BD1,60,10,100,0.050804,0.0
IN1BD1,60,10,100,0.051404,0.0
IN1BD1,60,10,100,0.051403,0.0
IN1BD1,60,10,100,0.042066,0.0
IN1BD1,60,10,100,0.04233,0.0
IN1BD1,60,10,100,0.043858,0.0
IN1BD1,60,10,100,0.049349,0.0
IN1BD1,60,10,100,0.043085,0.0
IN1BD1,60,10,100,0.044793,0.0
IN1BD1,60,10,100,0.039936,0.0
IN1BD1,60,10,100,0.050878,0.0
IN1BD1,60,10,100,0.04092,0.0
IN1BD1,60,10,100,0.045682,0.0
IN1BD1,60,10,100,0.041908,0.0
IN1BD1,60,10,100,0.048293,0.0
IN1BD1,60,10,100,0.055443,0.0
IN1BD1,60,10,100,0.057771,0.0
IN1BD1,60,10,100,0.04307,0.0
IN1BD1,60,10,100,0.055274,0.0
IN1BD1,60,10,100,0.052248,0.0
IN1BD1,60,10,100,0.042832,0.0
IN1BD1,60,10,100,0.040977,0.0
IN1BD1,60,10,100,0.044683,0.0
IN1BD1,60,10,100,0.041648,0.0
IN1BD1,60,10,100,0.045448,0.0
IN1BD1,60,10,100,0.042253,0.0
IN1BD1,60,10,100,0.053772,0.0
IN1BD1,60,10,100,0.058486,0.0
IN1BD1,60,10,100,0.042198,0.0
IN1BD1,60,10,100,0.04449,0.0
IN1BD1,60,10,100,0.053989,0.0
IN1BD1,60,10,100,0.05827,0.0
IN1BD1,60,10,100,0.049733,0.0
